position,team,matches,wins,draws,loses,scored,conceded,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
1,Manchester City,4,4,0,0,11,2,12,9.47558,-1.5244199999999992,7.95324,2.794688,0.7946879999999998,2.794688,5.158552,10.988690476190476,27.4997594997595,48,16,9.7554,-2.2446
2,West Ham,4,3,1,0,9,4,10,7.37372,-1.6262800000000004,6.612548,6.51615,2.5161499999999997,5.754982999999999,0.8575649999999999,17.97572463768116,8.876465548340548,24,49,5.9553,-4.0447
3,Tottenham,4,3,1,0,11,4,10,8.6512,-2.3488000000000007,8.6512,6.503222,2.503222,5.742062,2.9091380000000004,8.932864313106249,11.295492359932087,55,36,6.9648,-3.0351999999999997
4,Arsenal,4,3,1,0,8,4,10,8.18916,0.18915999999999933,6.66686,3.851391,-0.148609,3.851391,2.8154689999999998,10.259375,30.03263888888889,49,20,8.2692,-1.7308000000000003
5,Liverpool,4,3,1,0,9,3,10,8.141921,-0.858079,7.221501,5.555153000000001,2.5551530000000007,5.555153000000001,1.6663480000000002,12.98679231812665,24.68922305764411,36,27,6.9615,-3.0385
6,Brighton,4,3,0,1,12,6,9,10.21998,-1.7800200000000004,9.45881,8.431610000000001,2.431610000000001,7.670440000000001,1.7883699999999996,7.077480158730158,19.246875,63,25,6.566199999999999,-2.4338000000000006
7,Crystal Palace,4,2,1,1,5,4,7,6.7352799999999995,1.7352799999999995,6.7352799999999995,4.715755,0.7157549999999997,3.954625,2.780655,10.83157608695652,9.192006269592476,35,22,6.902,-0.09799999999999986
8,Manchester United,4,2,0,2,5,7,6,8.411049,3.411049,7.649878999999999,7.131403999999999,0.13140399999999897,7.131403999999999,0.5184749999999997,13.580575657894737,15.658413461538462,45,40,6.236600000000001,0.23660000000000103
9,Nottingham Forest,4,2,0,2,6,6,6,4.448969,-1.551031,4.448969,6.706108,0.7061080000000004,5.944938,-1.4959689999999997,24.77264957264957,7.789473684210526,17,44,4.360500000000001,-1.639499999999999
10,Brentford,4,1,3,0,8,5,6,9.396301,1.3963009999999993,7.873981000000001,5.023799,0.023799000000000348,5.023799,2.850182,9.749451754385966,10.767307152875174,44,25,7.938600000000001,1.938600000000001
11,Aston Villa,4,2,0,2,8,9,6,8.181773,0.18177299999999974,7.420603,8.40553,-0.5944699999999994,8.40553,-0.9849270000000001,30.194940476190474,12.121100739952604,31,30,5.9425,-0.05750000000000011
12,Fulham,4,1,1,2,4,10,4,4.295426,0.29542599999999997,4.295426,11.29129,1.29129,9.00779,-4.712364000000001,21.983454106280192,10.894961588754494,20,50,1.7066,-2.2934
13,Chelsea,4,1,1,2,5,5,4,9.24035,4.240349999999999,8.479182999999999,4.628521,-0.3714789999999999,3.8673490000000004,4.611834,6.882655502392344,21.36395790200138,55,18,8.1477,4.1477
14,Newcastle United,4,1,0,3,7,7,3,7.104364,0.10436400000000035,7.104364,4.889981,-2.1100190000000003,4.889981,2.2143829999999998,13.332010582010582,12.847135955831607,26,29,6.1614,3.1614000000000004
15,Wolverhampton Wanderers,4,1,0,3,4,8,3,6.951880000000001,2.951880000000001,6.951880000000001,9.35376,1.3537599999999994,9.35376,-2.4018799999999993,10.980433303085299,9.919300595238095,30,48,3.885,0.8849999999999998
16,Bournemouth,4,0,2,2,4,8,2,5.490662,1.4906620000000004,5.490662,10.07088,2.0708800000000007,9.15046,-3.6597980000000003,10.10741487455197,7.598710981047938,28,54,2.7661,0.7660999999999998
17,Everton,4,0,1,3,2,8,1,7.948105,5.948105,7.948105,7.80208,-0.19791999999999987,7.04091,0.9071950000000002,13.315182552954292,14.352631578947367,19,28,6.1838,5.1838
18,Sheffield United,4,0,1,3,4,7,1,3.310974,-0.6890260000000001,3.310974,10.23472,3.2347199999999994,9.47355,-6.162576,19.104306220095694,8.870811434941869,14,40,1.534,0.534
19,Burnley,3,0,0,3,3,11,0,2.607677,-0.3923230000000002,2.607677,7.6355,-3.3644999999999996,7.6355,-5.027823000000001,16.544466003718977,17.483838383838386,19,34,1.1728,1.1728
20,Luton,3,0,0,3,2,9,0,4.374121000000001,2.3741210000000006,3.612951,9.00695,0.00694999999999979,8.24578,-4.632829,21.168478260869566,6.948188405797102,17,40,2.2581,2.2581
