position,team,matches,wins,draws,loses,scored,conceded,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
1,Manchester City,1,1,0,0,3,0,3,2.40074,-0.5992600000000001,2.40074,0.311032,0.311032,0.311032,2.089708,15.8,33.07142857142857,9,4,2.7761,-0.2239
2,Crystal Palace,1,1,0,0,1,0,3,2.27616,1.27616,2.27616,0.422704,0.422704,0.422704,1.853456,4.391304347826087,14.181818181818182,9,2,2.6568,-0.34319999999999995
3,Arsenal,1,1,0,0,2,1,3,0.84262,-1.1573799999999999,0.84262,0.966305,-0.03369500000000003,0.966305,-0.12368499999999993,4.0,44.1,9,4,1.1754,-1.8246
4,Newcastle United,1,1,0,0,5,1,3,4.32208,-0.6779200000000003,4.32208,1.486,0.486,1.486,2.83608,15.0,11.571428571428571,9,6,2.7626000000000004,-0.2373999999999996
5,Manchester United,1,1,0,0,1,0,3,1.97087,0.9708699999999999,1.97087,1.72228,1.72228,1.72228,0.24858999999999987,7.28125,13.5,16,12,1.5762,-1.4238
6,Brighton,1,1,0,0,4,1,3,4.36748,0.3674799999999996,3.60631,1.88594,0.88594,1.12477,2.48154,6.875,23.0625,17,5,2.7246,-0.27539999999999987
7,Fulham,1,1,0,0,1,0,3,1.58144,0.58144,1.58144,2.59001,2.59001,2.59001,-1.00857,17.4,14.826086956521738,6,7,0.6909,-2.3091
8,Bournemouth,1,0,1,0,1,1,1,1.51025,0.5102500000000001,1.51025,1.4834,0.48340000000000005,1.4834,0.02685000000000004,5.111111111111111,9.733333333333333,9,8,1.3845999999999998,0.38459999999999983
9,Chelsea,1,0,1,0,1,1,1,1.93258,0.93258,1.93258,1.29994,0.2999400000000001,1.29994,0.6326399999999999,8.947368421052632,20.047619047619047,11,9,1.8441,0.8441000000000001
10,West Ham,1,0,1,0,1,1,1,1.4834,0.48340000000000005,1.4834,1.51025,0.5102500000000001,1.51025,-0.02685000000000004,9.733333333333333,5.111111111111111,8,9,1.2985,0.2985
11,Tottenham,1,0,1,0,2,2,1,1.45316,-0.54684,1.45316,1.90756,-0.09244000000000008,1.1464,0.3067599999999999,5.870967741935484,14.1,7,11,0.9828999999999999,-0.017100000000000115
12,Liverpool,1,0,1,0,1,1,1,1.29994,0.2999400000000001,1.29994,1.93258,0.93258,1.93258,-0.6326399999999999,20.047619047619047,8.947368421052632,9,11,0.9087,-0.09130000000000005
13,Brentford,1,0,1,0,2,2,1,1.90756,-0.09244000000000008,1.1464,1.45316,-0.54684,1.45316,-0.3067599999999999,14.1,5.870967741935484,11,7,1.7563,0.7563
14,Sheffield United,1,0,0,1,0,1,0,0.422704,0.422704,0.422704,2.27616,1.27616,2.27616,-1.853456,14.181818181818182,4.391304347826087,2,9,0.2253,0.2253
15,Nottingham Forest,1,0,0,1,1,2,0,0.966305,-0.03369500000000003,0.966305,0.84262,-1.1573799999999999,0.84262,0.12368499999999993,44.1,4.0,4,9,1.4883000000000002,1.4883000000000002
16,Aston Villa,1,0,0,1,1,5,0,1.486,0.486,1.486,4.32208,-0.6779200000000003,4.32208,-2.83608,11.571428571428571,15.0,6,9,0.1709,0.1709
17,Wolverhampton Wanderers,1,0,0,1,0,1,0,1.72228,1.72228,1.72228,1.97087,0.9708699999999999,1.97087,-0.24858999999999987,13.5,7.28125,12,16,1.1733,1.1733
18,Burnley,1,0,0,1,0,3,0,0.311032,0.311032,0.311032,2.40074,-0.5992600000000001,2.40074,-2.089708,33.07142857142857,15.8,4,9,0.1385,0.1385
19,Everton,1,0,0,1,0,1,0,2.59001,2.59001,2.59001,1.58144,0.58144,1.58144,1.00857,14.826086956521738,17.4,7,6,2.1102,2.1102
20,Luton,1,0,0,1,1,4,0,1.88594,0.88594,1.12477,4.36748,0.3674799999999996,3.60631,-2.48154,23.0625,6.875,5,17,0.1878,0.1878
